                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.61119,                 0.3713,                0.82359,                0.97783,                0.98578,                0.99366,                0.86722,                0.53914,                0.26766,                0.79993,               0.005545,               0.005545,               0.005545
                    138,                0.60027,                 0.3695,                0.81802,                  0.978,                0.98531,                0.99369,                0.86661,                0.53881,                0.26739,                0.79985,               0.005512,               0.005512,               0.005512
                    139,                0.59962,                0.36874,                0.81868,                0.97807,                  0.985,                0.99368,                0.86827,                 0.5378,                0.26724,                0.79974,               0.005479,               0.005479,               0.005479
                    140,                0.60274,                0.37129,                0.81694,                 0.9778,                0.98582,                0.99362,                0.86816,                0.53791,                0.26696,                0.79967,               0.005446,               0.005446,               0.005446
                    141,                0.60451,                0.37176,                0.82035,                0.97822,                0.98524,                0.99366,                0.86851,                 0.5371,                0.26674,                0.79957,               0.005413,               0.005413,               0.005413
                    142,                0.60732,                0.37231,                0.81919,                0.97802,                0.98502,                 0.9937,                 0.8693,                0.53635,                0.26646,                0.79938,                0.00538,                0.00538,                0.00538
                    143,                 0.6033,                0.36606,                0.82078,                0.97812,                0.98513,                0.99366,                 0.8698,                0.53599,                0.26634,                0.79926,               0.005347,               0.005347,               0.005347
                    144,                0.59976,                0.36689,                0.81643,                0.97795,                 0.9852,                0.99367,                 0.8692,                0.53513,                0.26595,                0.79912,               0.005314,               0.005314,               0.005314
                    145,                0.59889,                0.36813,                0.81833,                0.97795,                0.98535,                0.99366,                 0.8701,                0.53437,                0.26529,                0.79901,               0.005281,               0.005281,               0.005281
                    146,                0.59212,                0.36379,                0.81737,                0.97782,                0.98597,                0.99368,                0.86994,                0.53392,                0.26511,                0.79892,               0.005248,               0.005248,               0.005248
                    147,                 0.5957,                0.35956,                 0.8186,                0.97794,                0.98578,                0.99365,                0.87031,                0.53365,                0.26464,                0.79891,               0.005215,               0.005215,               0.005215
                    148,                0.59374,                0.36347,                0.81849,                0.97846,                0.98619,                0.99367,                0.87083,                0.53312,                0.26434,                0.79884,               0.005182,               0.005182,               0.005182
                    149,                0.59567,                0.35991,                0.81896,                0.97841,                0.98629,                0.99369,                0.87158,                 0.5328,                0.26394,                0.79875,               0.005149,               0.005149,               0.005149
                    150,                0.59856,                0.36354,                0.81645,                0.97801,                0.98643,                 0.9937,                0.87135,                0.53215,                0.26372,                0.79867,               0.005116,               0.005116,               0.005116
                    151,                0.58974,                0.35763,                0.81802,                0.97826,                0.98638,                0.99371,                0.87238,                0.53188,                0.26331,                0.79857,               0.005083,               0.005083,               0.005083
                    152,                0.58579,                0.35982,                0.81685,                0.97858,                0.98614,                0.99375,                0.87279,                0.53194,                0.26343,                0.79857,                0.00505,                0.00505,                0.00505
                    153,                0.58699,                0.35404,                0.81299,                0.97868,                0.98596,                0.99374,                0.87164,                0.53198,                0.26337,                0.79851,               0.005017,               0.005017,               0.005017
                    154,                0.58586,                0.35596,                0.81533,                0.97871,                0.98609,                0.99376,                 0.8722,                0.53165,                0.26305,                0.79844,               0.004984,               0.004984,               0.004984
                    155,                0.58821,                0.35486,                0.81947,                0.97861,                0.98593,                 0.9938,                0.87147,                0.53102,                0.26285,                0.79837,               0.004951,               0.004951,               0.004951
                    156,                0.58971,                0.35378,                 0.8176,                0.97844,                0.98545,                0.99382,                0.87139,                0.53081,                0.26263,                 0.7983,               0.004918,               0.004918,               0.004918
                    157,                0.58248,                0.35278,                0.81675,                0.97865,                0.98561,                0.99382,                0.87202,                0.53032,                0.26228,                0.79823,               0.004885,               0.004885,               0.004885
                    158,                0.58827,                0.35693,                0.81611,                0.97883,                0.98579,                0.99379,                0.87141,                 0.5301,                0.26208,                0.79815,               0.004852,               0.004852,               0.004852
